Acronym,Year,SampleStartYear,SampleEndYear,is_start,is_end,is_sharpe,is_n_months,post_start,post_end,post_sharpe,post_n_months,full_sharpe,full_n_months,reported_return_monthly_pct,reported_tstat,reported_sharpe_annualized
ChEQ,2010,1964,2007,1964-01-01,2007-12-31,0.6421964897414049,528,2011-01-01,2024-12-31,0.5252570616566924,168,0.5655831821694424,750,0.8,5.38,0.8110655169141842
ChForecastAccrual,2004,1981,1996,1981-01-01,1996-12-31,1.119015513407708,192,2005-01-01,2024-12-31,0.27212338601815395,240,0.6041693087354212,582,2.375,,
ChInv,2002,1970,1997,1970-01-01,1997-12-31,1.225393568980797,336,2003-01-01,2024-12-31,0.452807801303682,264,0.9589986486658524,870,0.949166667,,
ChInvIA,1998,1974,1988,1974-01-01,1988-12-31,1.443021832325388,180,1999-01-01,2024-12-31,0.2864026137626499,312,0.6304444939654988,870,,2.914,0.7523915647232274
ChNAnalyst,2008,1982,2005,1982-01-01,2005-12-31,0.3761672089688041,284,2009-01-01,2024-12-31,0.1312484373046432,192,0.3918902568856929,558,0.46,3.34,0.6865590872471866
ChNNCOA,2008,1984,2002,1984-01-01,2002-12-31,1.0228367648182548,228,2009-01-01,2024-12-31,-0.22123760133147852,192,0.5491990162131073,870,,5.26,1.2067267601591547
ChNWC,2008,1984,2002,1984-01-01,2002-12-31,0.6047194800827806,228,2009-01-01,2024-12-31,0.2537953162943588,192,0.5036557360141574,870,,4.61,1.0576065331432898
ChTax,2011,1977,2006,1977-01-01,2006-12-31,1.6651916183455668,360,2012-01-01,2024-12-31,0.76272657784148,156,1.281417822684222,747,1.3,11.26,2.0557853325027233
CitationsRD,2013,1982,2008,1982-01-01,2008-12-31,0.4279109800869099,324,2014-01-01,2024-12-31,0.09007863674257281,132,0.24290606813750493,570,0.26,2.6,0.5003702332976757
CompEquIss,2006,1968,2003,1968-01-01,2003-12-31,0.3692867618329216,432,2007-01-01,2024-12-31,0.5312047515312961,216,0.3166270869972088,1127,,4.39,0.7316666666666666
CompositeDebtIssuance,2008,1970,2005,1970-01-01,2005-12-31,0.9306496168936957,432,2009-01-01,2024-12-31,0.5455030748438502,192,0.7233048678484214,822,0.523,8.59,1.4316666666666664
ConvDebt,2016,1985,2012,1985-01-01,2012-12-31,0.8157298142249522,336,2017-01-01,2024-12-31,0.5133935731370192,96,0.5215106101911653,888,,4.5,0.8504200642707612
